City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,66.2,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
4,Hervey Bay,AU,75.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
6,Brandfort,ZA,59.0,clear sky,-28.7001,26.4597,SUMFRA GUESTHOUSE
7,Lebu,CL,57.54,clear sky,-37.6167,-73.65,Hostal Las Lilas
10,Launceston,AU,68.0,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
18,Busselton,AU,60.01,clear sky,-33.65,115.3333,Observatory Guest House
21,Saint George,US,55.0,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
24,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
25,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Punto de encuentro
27,Ngama,TD,69.8,clear sky,11.7833,17.1667,
29,Akyab,MM,62.85,clear sky,20.15,92.9,Hotel Memory
31,Ushuaia,AR,55.4,light rain,-54.8,-68.3,Albatros Hotel
32,Punta Arenas,CL,59.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
34,Mabaruma,GY,73.62,overcast clouds,8.2,-59.7833,
37,East London,ZA,65.88,broken clouds,-33.0153,27.9116,Tu Casa
40,Hobart,AU,71.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,Loikaw,MM,58.21,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
43,Mataura,NZ,57.99,few clouds,-46.1927,168.8643,Ellie's Villa
44,Basco,PH,72.7,broken clouds,20.4487,121.9702,Nathaniel's Lodge
47,Guerrero Negro,MX,62.33,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
52,Mar Del Plata,AR,66.99,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
53,Calvinia,ZA,63.73,clear sky,-31.4707,19.776,Die Lemoenhuis
55,Alta Floresta,BR,72.0,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
56,Tiznit,MA,58.24,clear sky,29.5833,-9.5,
60,Peniche,PT,57.99,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
66,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
67,Diffa,NE,68.32,clear sky,13.3154,12.6113,ProDAF/Diffa
69,Vila Franca Do Campo,PT,57.99,few clouds,37.7167,-25.4333,Pestana Bahia Praia
70,Sala,MA,59.0,mist,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
71,Constitucion,CL,58.12,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
74,Bell Ville,AR,70.0,clear sky,-32.6259,-62.6887,Hotel Central
75,Cidreira,BR,73.24,clear sky,-30.1811,-50.2056,Hotel Castelo
77,Mangai,CD,72.99,overcast clouds,-4.05,19.5333,
78,New Norfolk,AU,71.01,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
80,Chicama,PE,73.4,clear sky,-7.8447,-79.1469,Hospedaje Punta Cana PERU
82,Dustlik,UZ,53.67,clear sky,40.5247,68.0358,
85,Ribeirao Bonito,BR,71.51,clear sky,-22.0667,-48.1761,Hotel Pousada Veraneio
86,Hermanus,ZA,64.99,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
87,Dwarka,IN,70.43,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
93,Tuatapere,NZ,57.99,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
101,Jiwani,PK,69.06,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
102,Airai,TL,62.98,overcast clouds,-8.9266,125.4092,Juvinal Martin
108,Ribeira Grande,PT,58.91,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
110,Tamiahua,MX,58.05,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
113,Nouadhibou,MR,69.8,dust,20.930999999999997,-17.0347,El Medina
114,Sur,OM,69.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
117,Castro,BR,64.92,few clouds,-24.7911,-50.0119,CHACARA BAILLY
119,Berbera,SO,74.25,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
127,Ahipara,NZ,74.59,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
133,Bluff,NZ,60.01,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
141,Chuy,UY,66.85,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
148,Flinders,AU,72.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
150,Laguna,US,63.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
154,Ponta Do Sol,PT,64.99,few clouds,32.6667,-17.1,Hotel do Campo
155,Samarkand,UZ,50.0,clear sky,39.6542,66.9597,Ideal Hotel
161,Lavumisa,SZ,69.8,overcast clouds,-27.31,31.892,ROADSIDE B&B
163,Umm Lajj,SA,67.44,broken clouds,25.0213,37.2685,Moon light Furnished Units
167,Beloha,MG,74.3,broken clouds,-25.1667,45.05,
173,Antofagasta,CL,68.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
175,Rawson,AR,71.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
177,Naze,JP,55.4,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
186,Pacific Grove,US,55.4,scattered clouds,36.6177,-121.9166,Lovers Point Inn
192,Port Alfred,ZA,63.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
