City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-02-16 19:54:53,38.5167,-28.7,55.4,88,75,14.97
1,Vaini,TO,2021-02-16 19:54:53,-21.2,-175.2,78.8,89,20,6.91
2,Tuktoyaktuk,CA,2021-02-16 19:54:53,69.4541,-133.0374,-20.2,76,90,8.05
3,Busselton,AU,2021-02-16 19:54:53,-33.65,115.3333,57.99,96,0,7.81
4,Cabo San Lucas,MX,2021-02-16 19:51:40,22.8909,-109.9124,75.0,52,1,11.5
5,Rikitea,PF,2021-02-16 19:54:54,-23.1203,-134.9692,78.96,73,0,14.45
6,Upernavik,GL,2021-02-16 19:54:54,72.7868,-56.1549,-5.84,89,97,4.09
7,Punta Arenas,CL,2021-02-16 19:54:54,-53.15,-70.9167,62.6,48,75,16.11
8,Severo-Kurilsk,RU,2021-02-16 19:54:54,50.6789,156.125,31.41,98,100,31.65
9,Hobart,AU,2021-02-16 19:54:54,-42.8794,147.3294,55.99,88,20,6.91
10,Kapaa,US,2021-02-16 19:54:55,22.0752,-159.319,73.4,88,90,5.75
11,Hermanus,ZA,2021-02-16 19:54:56,-34.4187,19.2345,66.0,77,12,4.0
12,Tarko-Sale,RU,2021-02-16 19:54:57,64.9225,77.785,-22.0,87,100,8.34
13,Saldanha,ZA,2021-02-16 19:54:57,-33.0117,17.9442,66.07,82,0,9.46
14,Taltal,CL,2021-02-16 19:54:57,-25.4,-70.4833,69.69,64,26,5.86
15,Sistranda,NO,2021-02-16 19:54:58,63.7256,8.834,32.0,64,0,32.21
16,Dauphin,CA,2021-02-16 19:50:00,51.1494,-100.0502,-2.2,65,1,4.61
17,Esperance,AU,2021-02-16 19:54:58,-33.8667,121.9,69.8,83,55,5.75
18,Kurilsk,RU,2021-02-16 19:54:58,45.2333,147.8833,24.08,90,100,15.39
19,Albany,US,2021-02-16 19:52:31,42.6001,-73.9662,39.0,88,100,3.42
20,Misratah,LY,2021-02-16 19:54:59,32.3754,15.0925,53.29,55,41,10.85
21,Bethel,US,2021-02-16 19:54:59,41.3712,-73.414,48.2,61,75,16.11
22,Souillac,MU,2021-02-16 19:54:59,-20.5167,57.5167,77.0,100,40,5.75
23,Drayton Valley,CA,2021-02-16 19:54:59,53.2168,-114.9854,3.99,76,100,7.0
24,Buraydah,SA,2021-02-16 19:55:00,26.326,43.975,75.2,33,0,14.97
25,Kodoli,IN,2021-02-16 19:55:00,16.8833,74.2,64.9,92,7,4.72
26,Lebu,CL,2021-02-16 19:55:01,-37.6167,-73.65,59.54,67,0,12.35
27,Lompoc,US,2021-02-16 19:55:01,34.6391,-120.4579,59.0,58,1,16.11
28,Cape Town,ZA,2021-02-16 19:53:20,-33.9258,18.4232,71.01,60,0,12.66
29,Nome,US,2021-02-16 19:55:03,64.5011,-165.4064,-0.4,71,1,3.44
30,Hovd,MN,2021-02-16 19:55:03,48.0056,91.6419,13.51,82,100,0.74
31,Boras,SE,2021-02-16 19:55:04,57.721,12.9401,30.0,86,90,9.22
32,Bluff,NZ,2021-02-16 19:55:04,-46.6,168.3333,46.0,92,45,1.99
33,Atuona,PF,2021-02-16 19:55:04,-9.8,-139.0333,78.6,80,39,15.14
34,Chuy,UY,2021-02-16 19:55:04,-33.6971,-53.4616,72.86,85,59,8.34
